,school_name,t_class,t_title,t_level,t_mingrade,gt_class,gt_title,gt_ch
28,Alabama Agric Mech University,EE  203L,Transfer Course,Undergraduate,C,ET  DEPT,Approp Dept Must Evaluate,0.0
29,Alabama Agric Mech University,EE  204,Transfer Course,Undergraduate,C,ECE  2030,Intro to Computer Engr,3.0
30,Alabama Agric Mech University,EE  301,Transfer Course,Undergraduate,C,ET  DEPT,Approp Dept Must Evaluate,0.0
31,Alabama Agric Mech University,EE  304,Transfer Course,Undergraduate,C,ET  DEPT,Approp Dept Must Evaluate,0.0
32,Alabama Agric Mech University,EE  304L,Transfer Course,Undergraduate,C,ET  DEPT,Approp Dept Must Evaluate,0.0
33,Alabama Agric Mech University,EGC  101,Transfer Course,Undergraduate,C,ET  NOGT,No Georgia Tech Credit Awarded,0.0
34,Alabama Agric Mech University,EGC  104,Transfer Course,Undergraduate,C,CS  1371,Computing for Engineers,3.0
35,Alabama Agric Mech University,EGC  205,Transfer Course,Undergraduate,C,ET  DEPT,Approp Dept Must Evaluate,0.0
36,Alabama Agric Mech University,ENG  100L,Transfer Course,Undergraduate,C,ET  DEPT,Approp Dept Must Evaluate,0.0
37,Alabama Agric Mech University,ENG  101,Transfer Course,Undergraduate,C,ENGL  1101,English Composition I,3.0
38,Alabama Agric Mech University,ENG  102,Transfer Course,Undergraduate,C,ENGL  1102,English Composiiton II,3.0
39,Alabama Agric Mech University,ENG  203,Transfer Course,Undergraduate,C,HUM  2XXX,Humanities Elective,3.0
40,Alabama Agric Mech University,ENG  204,Transfer Course,Undergraduate,C,HUM  2XXX,Humanities Elective,3.0
41,Alabama Agric Mech University,ENG  205,Transfer Course,Undergraduate,C,FREE  2XXX,Free Elective,2.0
42,Alabama Agric Mech University,HED  101,Transfer Course,Undergraduate,C,HPS  1040,Health,2.0
43,Alabama Agric Mech University,HIS  101,Transfer Course,Undergraduate,C,SS  3XXX,Social Science Elective,3.0
44,Alabama Agric Mech University,HIS  102,Transfer Course,Undergraduate,C,SS  3XXX,Social Science Elective,3.0
45,Alabama Agric Mech University,HIS  203,Transfer Course,Undergraduate,C,INTA  1200,American Government,3.0
46,Alabama Agric Mech University,MATH  T122,Transfer Course,Undergraduate,C,ET  DEPT,Approp Dept Must Evaluate,0.0
47,Alabama Agric Mech University,MDT  111L,Transfer Course,Undergraduate,C,FREE  1XXXX,Free Elective,3.0
48,Alabama Agric Mech University,MET  206,Transfer Course,Undergraduate,C,ET  DEPT,Approp Dept Must Evaluate,0.0
49,Alabama Agric Mech University,MET  331L,Transfer Course,Undergraduate,C,ET  DEPT,Approp Dept Must Evaluate,0.0
50,Alabama Agric Mech University,MTH  112,Transfer Course,Undergraduate,C,ET  NOGT,No Georgia Tech Credit Awarded,0.0
51,Alabama Agric Mech University,MTH  115,Transfer Course,Undergraduate,C,ET  NOGT,No Georgia Tech Credit Awarded,0.0
52,Alabama Agric Mech University,MTH  121,Transfer Course,Undergraduate,C,ET  NOGT,No Georgia Tech Credit Awarded,0.0
53,Alabama Agric Mech University,MTH  125,Transfer Course,Undergraduate,C,MATH  1551,Differential Calculus,2.0
54,Alabama Southern Comm Coll,BUS  271,Transfer Course,Undergraduate,C,MGT  2250,Management Statistics,3.0
55,Alabama Southern Comm Coll,CIS  146,Transfer Course,Undergraduate,C,ET  DEPT,Approp Dept Must Evaluate,0.0
56,Alabama Southern Comm Coll,HIS  121,Transfer Course,Undergraduate,C,SS  1XXX,Social Science Elective,3.0
57,Alabama Southern Comm Coll,HIS  122,Transfer Course,Undergraduate,C,SS  1XXX,Social Science Elective,3.0
58,Alabama State University,ART  131,Transfer Course,Undergraduate,C,HUM  1XXX,Humanities Elective,3.0
59,Alabama State University,BIO  127,Transfer Course,Undergraduate,C,ET  LAB,Credit Awarded W/BIOL127,0.0
60,Alabama State University,BIO  128,Transfer Course,Undergraduate,C,ET  LAB,Credit Awarded W/BIOL 128,0.0
61,Alabama State University,BIOL  127,Transfer Course,Undergraduate,C,BIOL  1XXX,Biology Elective,4.0
62,Alabama State University,BIOL  128,Transfer Course,Undergraduate,C,BIOL  1XXX,Biology Elective,4.0
63,Alabama State University,CIS  205,Transfer Course,Undergraduate,C,CS  1301,Intro to Computing,3.0
64,Alabama State University,CMM  211,Transfer Course,Undergraduate,C,FREE  2XXX,Free Elective,3.0
65,Alabama State University,CMS  200,Transfer Course,Undergraduate,C,HUM  2XXX,Humanities Elective,3.0
66,Alabama State University,ECO  201,Transfer Course,Undergraduate,C,SS  2XXX,Social Science Elective,3.0
67,Alabama State University,ENG  129,Transfer Course,Undergraduate,C,HUM  1XXX,Humanities Elective,3.0
68,Alabama State University,ENG  131,Transfer Course,Undergraduate,C,ENGL  1101,English Composition I,3.0
69,Alabama State University,ENG  132,Transfer Course,Undergraduate,C,ENGL  1102,English Composition II,3.0
70,Alabama State University,ENG  209,Transfer Course,Undergraduate,C,HUM  2XXX,Humanities Elective,3.0
71,Alabama State University,FLS  161,Transfer Course,Undergraduate,C,SPAN  1001,Elementary Spanish I,3.0
72,Alabama State University,GEO  206,Transfer Course,Undergraduate,C,FREE  2XXX,Free Elective,3.0
73,Alabama State University,MAT  136,Transfer Course,Undergraduate,C,ET  DEPT,Approp Dept Must Evaluate,0.0
74,Alabama State University,MAT  137,Transfer Course,Undergraduate,C,ET  NOGT,No Georgia Tech Credit Awarded,0.0
75,Alabama State University,MAT  265,Transfer Course,Undergraduate,C,MATH  1551,Differential Calculus,2.0
76,Athens State College,HUM  210,Transfer Course,Undergraduate,C,LMC  2XXX,"Lit,Comm&Culture Elective",3.0
77,Athens State College,MA  421,Transfer Course,Undergraduate,C,MATH  24X3,Transfer Diff Equations,3.0
78,Auburn Univ Montgomery,ACCT  2020,Intro to Managerial Accounting,Undergraduate,C,ACCT  2102,Accounting II,3.0
79,Auburn Univ Montgomery,BIOL  1010,Transfer Course,Undergraduate,C,ET  LAB,Credit Awarded w/Lab Section,0.0
80,Auburn Univ Montgomery,BIOL  1011,Transfer Course,Undergraduate,C,BIOL  1510,Biological Principles,4.0
81,Auburn Univ Montgomery,BIOL  1050,Intro to Environmental Biology,Undergraduate,C,ET  LAB,Credit Awarded w/BIOL 1051,0.0
82,Auburn Univ Montgomery,BIOL  1051,Intro Environmentl Biology Lab,Undergraduate,C,BIOL  1220,Biology of Sex & Death,4.0
83,Auburn Univ Montgomery,CHEM  1040,Transfer Course,Undergraduate,C,ET  LAB,Credit Awarded w/Lab Section,0.0
84,Auburn Univ Montgomery,CHEM  1041,Transfer Course,Undergraduate,C,CHEM  1310,General Chemistry,4.0
85,Auburn Univ Montgomery,CHEM  1100,Transfer Course,Undergraduate,C,ET  LAB,Credit Awarded w/Lab Section,0.0
86,Auburn Univ Montgomery,CHEM  1101,Transfer Course,Undergraduate,C,CHEM  1XXX,Chemistry Elective,4.0
87,Auburn Univ Montgomery,CHEM  1200,Transfer Course,Undergraduate,C,ET  LAB,Credit Awarded w/Lab Section,0.0
88,Auburn Univ Montgomery,CHEM  1201,Transfer Course,Undergraduate,C,CHEM  1310,General Chemistry,4.0
89,Auburn Univ Montgomery,COMM  1010,Transfer Course,Undergraduate,C,FREE  1XXX,Free Elective,3.0
90,Auburn Univ Montgomery,COOP  0002,Transfer Course,Undergraduate,C,ET  NOGT,No Georgia Tech Credit Awarded,0.0
91,Auburn Univ Montgomery,COOP  0003,Transfer Course,Undergraduate,C,ET  NOGT,No Georgia Tech Credit Awarded,0.0
92,Auburn Univ Montgomery,CS  120,Transfer Course,Undergraduate,C,ET  DEPT,Approp Dept Must Evaluate,0.0
93,Auburn Univ Montgomery,CSCI  1110,Introduction Computer Science,Undergraduate,C,CS  1301,Intro to Computing,3.0
94,Auburn Univ Montgomery,CSCI  2000,Structured Programming I,Undergraduate,C,CS  1301,Intro to Computing,3.0
95,Auburn Univ Montgomery,CSCI  2200,Discrete Structures,Undergraduate,C,CS  2050,Intro Discrete Math CS,3.0
96,Auburn Univ Montgomery,ECON  2010,Economics I (Micro),Undergraduate,C,ECON  2106,Prin of Microeconomics,3.0
97,Auburn Univ Montgomery,ECON  2020,Transfer Course,Undergraduate,C,ECON  2105,Prin of Macroeconomics,3.0
98,Auburn Univ Montgomery,EH  102,Transfer Course,Undergraduate,C,ENGL  1102,English Composition II,3.0
99,Auburn Univ Montgomery,EH  257,Transfer Course,Undergraduate,C,LCC  2208,American Culture I,3.0
100,Auburn Univ Montgomery,EH  258,Transfer Course,Undergraduate,C,LCC  2210,American Culture II,3.0
101,Auburn Univ Montgomery,ENGL  1010,English Composition I,Undergraduate,C,ENGL  1101,English Composition I,3.0
102,Auburn Univ Montgomery,ENGL  1017,Transfer Course,Undergraduate,C,ENGL  1101,English Composition I,3.0
103,Auburn Univ Montgomery,ENGL  1020,English Composition II,Undergraduate,C,ENGL  1102,English Composition II,3.0
104,Auburn Univ Montgomery,ENGL  1027,Transfer Course,Undergraduate,C,ENGL  1102,English Composition II,3.0
105,Auburn Univ Montgomery,ENGL  2200,Transfer Course,Undergraduate,C,LMC  2XXX,"Lit,Comm&Culture Elective",3.0
106,Auburn Univ Montgomery,ENGL  2570,Transfer Course,Undergraduate,C,LCC  2208,American Culture I,3.0
107,Auburn Univ Montgomery,ENGL  2580,Transfer Course,Undergraduate,C,LCC  2210,American Culture II,3.0
108,Auburn Univ Montgomery,ENGL  3030,Transfer Course,Undergraduate,C,LCC  3401,Technical Comm Practices,2.0
109,Auburn University,ACCT  0211,Transfer Course,Undergraduate,C,ACCT  2101,Accounting I,3.0
110,Auburn University,ACCT  2110,Transfer Course,Undergraduate,C,ACCT  2101,Accounting I,3.0
111,Auburn University,ACCT  2210,Transfer Course,Undergraduate,C,ACCT  2102,Accounting II,3.0
112,Auburn University,ACCT  2700,Business Law,Undergraduate,C,MGT  2106,Legal Aspects-Business,3.0
113,Auburn University,ACCT  2910,Transfer Course,Undergraduate,C,MGT  3000,Financ & Managerial Acct,3.0
114,Auburn University,ACCT  2990,Transfer Course,Undergraduate,C,MGT  2106,Legal Aspects-Business,3.0
115,Auburn University,AERO  2200,Aerospace Fundamentals,Undergraduate,C,AE  1601,Introduction to AE,1.0
116,Bevill State Cmty Coll Brewer,BIO  103,Principles of Biology I,Undergraduate,C,BIOL  1510,Biological Principles,4.0
117,Bevill State Cmty Coll Brewer,BIO  104,Principles of Biology II,Undergraduate,C,BIOL  1520,Intro to Organismal Biol,4.0
118,Bevill State Cmty Coll Brewer,EGR  157,Computer Meth for Engr/MATLAB,Undergraduate,C,ET  DEPT,Approp. Dept. Must Evaluate,0.0
119,Bevill State Cmty Coll Brewer,ENG  101,English Composition I,Undergraduate,C,ENGL  1101,English Composition I,3.0
120,Bevill State Cmty Coll Brewer,ENG  102,English Composition II,Undergraduate,C,ENGL  1102,English Composition II,3.0
121,Bevill State Cmty Coll Brewer,HIS  101,Western Civilization I,Undergraduate,C,SS  1XXX,Social Science Elective,3.0
122,Bevill State Cmty Coll Brewer,HIS  102,Western Civilization II,Undergraduate,C,SS  1XXX,Social Science Elective,3.0
123,Bevill State Cmty Coll Brewer,HIS  201,US History I,Undergraduate,C,HIST  2111,United States to 1877,3.0
124,Bevill State Cmty Coll Brewer,HIS  202,US History II,Undergraduate,C,HIST  2112,United States since 1877,3.0
125,Bevill State Cmty Coll Brewer,MTH  112,Precalculus Algebra,Undergraduate,C,ET  NOGT,No Georgia Tech Credit Awarded,0.0
126,Bevill State Cmty Coll Brewer,MTH  113,Precalculus Trigonometry,Undergraduate,C,ET  NOGT,No Georgia Tech Credit Awarded,0.0
127,Bevill State Cmty Coll Brewer,MTH  125,Calculus I,Undergraduate,C,MATH  1551,Differential Calculus,2.0
128,Birmingham Southern College,AR  199,Transfer Course,Undergraduate,C,ET  NOGT,No Georgia Tech Credit Awarded,0.0
129,Birmingham Southern College,BA  210,Principles of Accounting,Undergraduate,C,ACCT  2101,Accounting I,3.0
130,Bishop State Cmty Coll,ART  100,Transfer Course,Undergraduate,C,HUM  1XXX,Humanities Elective,3.0
131,Bishop State Cmty Coll,BIO  101,Transfer Course,Undergraduate,C,ET  DEPT,Approp Dept Must Evaluate,0.0
132,Bishop State Cmty Coll,BIO  103,Principles of Biology I,Undergraduate,C,ET  DEPT,Approp. Dept. Must Evaluate,0.0
133,Bishop State Cmty Coll,BIO  201,Transfer Course,Undergraduate,C,BIOL  3751,Anatomy & Physiology,3.0
134,Bishop State Cmty Coll,ECO  232,Transfer Course,Undergraduate,C,ECON  2106,Prin of Microeconomics,3.0
135,Bishop State Cmty Coll,ENG  093,Transfer Course,Undergraduate,C,ET  DEPT,Approp Dept Must Evaluate,0.0
136,Bishop State Cmty Coll,ENG  101,Transfer Course,Undergraduate,C,ENGL  1101,English Composition I,3.0
137,Bishop State Cmty Coll,ENG  102,Transfer Course,Undergraduate,C,ENGL  1102,English Composition II,3.0
138,Bishop State Cmty Coll,ENG  251,Transfer Course,Undergraduate,C,ET  DEPT,Approp Dept Must Evaluate,0.0
139,Bishop State Cmty Coll,HIS  201,Transfer Course,Undergraduate,C,HIST  2111,United States to1877,3.0
140,Bishop State Cmty Coll,HIS  202,Transfer Course,Undergraduate,C,HIST  2112,United States since 1877,3.0
141,Bishop State Cmty Coll,MTH  112,Transfer Course,Undergraduate,C,ET  NOGT,No Georgia Tech Credit Awaded,0.0
142,Bishop State Cmty Coll,MTH  113,Transfer Course,Undergraduate,C,ET  NOGT,No Georgia Tech Credit Awarded,0.0
143,Bishop State Cmty Coll,MTH  125,Transfer Course,Undergraduate,C,MATH  1551,Differential Calculus,2.0
144,Calhoun Community College,ART  100,Transfer Course,Undergraduate,C,HUM  1XXX,Humanities Elective,3.0
145,Calhoun Community College,ART  133,Transfer Course,Undergraduate,C,ET  NOGT,No Georgia Tech Credit Awarded,0.0
146,Calhoun Community College,BIO  103,Transfer Course,Undergraduate,C,BIOL  1XXX,Biology Elective,4.0
147,Calhoun Community College,BIO  104,Transfer Course,Undergraduate,C,ET  DEPT,Approp Dept Must Evaluate,0.0
148,Calhoun Community College,CHM  111,General Chemistry I,Undergraduate,C,CHEM  1211K,Chemical Principles I,4.0
149,Calhoun Community College,CHM  112,Transfer Course,Undergraduate,C,CHEM  1310,General Chemistry,4.0
150,Calhoun Community College,CIS  201,Intro to Computer Prog Concept,Undergraduate,C,ET  NOGT,No Georgia Tech Credit Awarded,0.0
151,Calhoun Community College,CIS  251,C++ Programming,Undergraduate,C,CS  1301,Intro to Computing,3.0
152,Calhoun Community College,ECO  231,Principles of Macroeconomics,Undergraduate,C,ECON  2105,Prin of Macroeconomics,3.0
153,Calhoun Community College,ECO  232,Transfer Course,Undergraduate,C,ECON  2106,Prin of Microeconomics,3.0
154,Calhoun Community College,ENG  101,English Composition I,Undergraduate,C,ENGL  1101,English Composition I,3.0
155,Calhoun Community College,ENG  102,English Composition II,Undergraduate,C,ENGL  1102,English Composition II,3.0
156,Calhoun Community College,ENG  251,American Literature I,Undergraduate,C,HUM  2XXX,Humanities Elective,3.0
157,Calhoun Community College,HIS  121,World History I,Undergraduate,C,HTS  1XXX,"Hist,Tech & Soc Elective",3.0
158,Calhoun Community College,HIS  122,World History II,Undergraduate,C,HTS  1XXX,"Hist,Tech & Soc Elective",3.0
159,Calhoun Community College,HIS  201,Transfer Course,Undergraduate,C,HIST  2111,United States to 1877,3.0
160,Calhoun Community College,HIS  202,Transfer Course,Undergraduate,C,HIST  2112,United States since 1877,3.0
161,Calhoun Community College,MTH  112,Precalculus Algebra,Undergraduate,C,ET  NOGT,No Georgia Tech Credit Awarded,0.0
162,Calhoun Community College,MTH  113,Precalculus Trigonometry,Undergraduate,C,ET  NOGT,No Georgia Tech Credit Awarded,0.0
163,Calhoun Community College,MTH  125,Calculus I,Undergraduate,C,MATH  1551,Differential Calculus,2.0
164,Central Alabama Cmnty College,CHM  111,Transfer Course,Undergraduate,C,CHEM  1XXX,Chemisry Electives,4.0
165,Central Alabama Cmnty College,CHM  113,Transfer Course,Undergraduate,C,CHEM  1XXX,Chemistry Elective,4.0
166,Central Alabama Cmnty College,CHM  114,Transfer Course,Undergraduate,C,CHEM  1310,General Chemistry,4.0
167,Central Alabama Cmnty College,DDT  104,Transfer Course,Undergraduate,C,ET  NOGT,No Georgia Tech Credit Awarded,0.0
168,Central Alabama Cmnty College,DDT  111,Transfer Course,Undergraduate,C,ET  NOGT,No Georgia Tech Credit Awarded,0.0
169,Central Alabama Cmnty College,DDT  124,Transfer Course,Undergraduate,C,ET  NOGT,No Georgia Tech Credit Awarded,0.0
170,Central Alabama Cmnty College,ECO  231,Transfer Course,Undergraduate,C,ECON  2105,Prin of Macroeconomics,3.0
171,Central Alabama Cmnty College,ENG  101,Transfer Course,Undergraduate,C,ENGL  1101,English Composition I,3.0
172,Central Alabama Cmnty College,ENG  102,Transfer Course,Undergraduate,C,ENGL  1102,English Composition II,3.0
173,Central Alabama Cmnty College,HED  236,Transfer Course,Undergraduate,C,APPH  2XXX,Applied Physiology elective,1.0
174,Central Alabama Cmnty College,HIS  121,Transfer Course,Undergraduate,C,SS  1XXX,Social Science Elective,3.0
175,Central Alabama Cmnty College,HIS  122,Transfer Course,Undergraduate,C,SS  1XXX,Social Science Elective,3.0
176,Central Alabama Cmnty College,MATH  226,Transfer Course,Undergraduate,C,ET  DEPT,Approp Dept Must Evaluate,0.0
177,Central Alabama Cmnty College,MTH  115,Transfer Course,Undergraduate,C,ET  DEPT,Approp Dept Must Evaluate,0.0
178,Central Alabama Cmnty College,MTH  215,Transfer Course,Undergraduate,C,ET  DEPT,Approp Dept Must Evaluate,0.0
179,Central Alabama Cmnty College,ORI  100,Transfer Course,Undergraduate,C,ET  NOGT,No Georgia Tech Credit Awarded,0.0
180,Central Alabama Cmnty College,PED  118,Transfer Course,Undergraduate,C,HPS  1010,Strength Training,1.0
181,Central Alabama Cmnty College,PED  119,Transfer Course,Undergraduate,C,HPS  1XXX,Hlth Perf Sci Elective,1.0
182,Central Alabama Cmnty College,PED  252,Transfer Course,Undergraduate,C,ET  NOGT,No Georgia Tech Credit Awarded,0.0
183,Centrl Alabama C C Childsbrg,BIO  103,Transfer Course,Undergraduate,C,BIOL  1510,Biological Principles,4.0
184,Centrl Alabama C C Childsbrg,BIO  104,Transfer Course,Undergraduate,C,BIOL  1520,Intro To Organismal Biol,4.0
185,Centrl Alabama C C Childsbrg,BUS  241,Transfer Course,Undergraduate,C,ET  DEPT,Approp Dept Must Evaluate,0.0
186,Centrl Alabama C C Childsbrg,CIS  130,Transfer Course,Undergraduate,C,ET  NOGT,No Georgia Tech Credit Awarded,0.0
187,Centrl Alabama C C Childsbrg,CIS  146,Transfer Course,Undergraduate,C,ET  DEPT,Approp Dept Must Evaluate,0.0
188,Centrl Alabama C C Childsbrg,CIS  191,Transfer Course,Undergraduate,C,CS  1301,Intro to Computing,3.0
189,Centrl Alabama C C Childsbrg,CIS  192,Transfer Course,Undergraduate,C,CS  1301,Intro to Computing,3.0
190,Centrl Alabama C C Childsbrg,CIS  205,Transfer Course,Undergraduate,C,ET  NOGT,No Georgia Tech Credit Awarded,0.0
191,Centrl Alabama C C Childsbrg,CIS  207,Transfer Course,Undergraduate,C,ET  NOGT,No Georgia Tech Credit Awarded,0.0
192,Centrl Alabama C C Childsbrg,CIS  239,Transfer Course,Undergraduate,C,ET  NOGT,No Georgia Tech Credit Awarded,0.0
193,Centrl Alabama C C Childsbrg,CIS  240,Transfer Course,Undergraduate,C,ET  NOGT,No Georgia Tech Credit Awarded,0.0
194,Centrl Alabama C C Childsbrg,CIS  241,Transfer Course,Undergraduate,C,ET  NOGT,No Georgia Tech Credit Awarded,0.0
195,Centrl Alabama C C Childsbrg,CIS  242,Transfer Course,Undergraduate,C,ET  NOGT,No Georgia Tech Credit Awarded,0.0
196,Centrl Alabama C C Childsbrg,CIS  245,Transfer Course,Undergraduate,C,CS  1301,Intro to Computing,3.0
197,Centrl Alabama C C Childsbrg,CIS  255,Transfer Course,Undergraduate,C,ET  NOGT,No Georgia Tech Credit Awarded,0.0
198,Centrl Alabama C C Childsbrg,CIS  281,Transfer Course,Undergraduate,C,ET  NOGT,No Georgia Tech Credit Awarded,0.0
199,Centrl Alabama C C Childsbrg,CIS  285,Transfer Course,Undergraduate,C,ET  DEPT,Approp Dept Must Evaluate,0.0
200,Centrl Alabama C C Childsbrg,DDT  104,Transfer Course,Undergraduate,C,ET  NOGT,No Georgia Tech Credit Awarded,0.0
201,Centrl Alabama C C Childsbrg,DDT  111,Transfer Course,Undergraduate,C,ET  NOGT,No Georgia Tech Credit Awarded,0.0
202,Centrl Alabama C C Childsbrg,DDT  124,Transfer Course,Undergraduate,C,ET  NOGT,No Georgia Tech Credit Awarded,0.0
203,Centrl Alabama C C Childsbrg,ECO  231,Transfer Course,Undergraduate,C,ECON  2105,Prin of Macroeconomics,3.0
204,Centrl Alabama C C Childsbrg,ECO  232,Transfer Course,Undergraduate,C,ECON  2106,Prin of Microeconomics,3.0
205,Centrl Alabama C C Childsbrg,ENG  101,Transfer Course,Undergraduate,C,ENGL  1101,English Composition I,3.0
206,Centrl Alabama C C Childsbrg,ENG  102,Transfer Course,Undergraduate,C,ENGL  1102,English Composition II,3.0
207,Centrl Alabama C C Childsbrg,HIS  202,Transfer Course,Undergraduate,C,HIST  2112,United States since 1877,3.0
208,Centrl Alabama C C Childsbrg,ILT  135,Transfer Course,Undergraduate,C,ET  DEPT,Approp Dept Must Evaluate,0.0
209,Centrl Alabama C C Childsbrg,MTH  100,Transfer Course,Undergraduate,C,ET  NOGT,No Georgia Tech Credit Awarded,0.0
210,Centrl Alabama C C Childsbrg,MTH  112,Transfer Course,Undergraduate,C,ET  NOGT,No Georgia Tech Credit Awarded,0.0
211,Centrl Alabama C C Childsbrg,MTH  113,Transfer Course,Undergraduate,C,ET  NOGT,No Georgia Tech Credit Awarded,0.0
212,Centrl Alabama C C Childsbrg,MTH  125,Transfer Course,Undergraduate,C,MATH  15X1,Transfer Calculus I,3.0
213,Centrl Alabama C C Childsbrg,MTH  126,Transfer Course,Undergraduate,C,MATH  15X2,Transfer Calculus II,4.0
214,Centrl Alabama C C Childsbrg,MTH  237,Transfer Course,Undergraduate,C,MATH  1522,Linear Algebra for Calc,2.0
215,Centrl Alabama C C Childsbrg,MUS  101,Transfer Course,Undergraduate,C,HUM  1XXX,Humanities Elective,3.0
216,Centrl Alabama C C Childsbrg,PED  100,Transfer Course,Undergraduate,C,HPS  1040,Health,2.0
217,Centrl Alabama C C Childsbrg,POL  211,Transfer Course,Undergraduate,C,POL  1101,Government of the U.S.,3.0
218,Centrl Alabama C C Childsbrg,PSY  200,Transfer Course,Undergraduate,C,PSYC  1101,General Psychology,3.0
219,Centrl Alabama C C Childsbrg,SPA  101,Transfer Course,Undergraduate,C,SPAN  1001,Elementary Spanish I,3.0
220,Chattahoochee Valley Cmty Coll,ART  100,Transfer Course,Undergraduate,C,HUM  1XXX,Humanities Elective,3.0
221,Chattahoochee Valley Cmty Coll,BIO  104,Principles of Biology II,Undergraduate,C,BIOL  1520,Intro to Organismal Biol,4.0
222,Chattahoochee Valley Cmty Coll,BUS  100,Transfer Course,Undergraduate,C,FREE  1XXX,Free Elective,3.0
223,Chattahoochee Valley Cmty Coll,CHM  111,Transfer Course,Undergraduate,C,CHEM  1XXX,Chemistry Elective,4.0
224,Chattahoochee Valley Cmty Coll,CHM  112,Transfer Course,Undergraduate,C,CHEM  1310,General Chemistry,4.0
225,Chattahoochee Valley Cmty Coll,CHM  113,Transfer Course,Undergraduate,C,CHEM  1XXX,Chemistry Elective,4.0
226,Chattahoochee Valley Cmty Coll,CHM  114,Transfer Course,Undergraduate,C,CHEM  1310,General Chemistry,4.0
227,Chattahoochee Valley Cmty Coll,CHM  115,Transfer Course,Undergraduate,C,ET  DEPT,Approp Dept Must Evaluate,0.0
228,Chattahoochee Valley Cmty Coll,CHM  233,Transfer Course,Undergraduate,C,CHEM  2311,Organic Chemistry I,3.0
229,Chattahoochee Valley Cmty Coll,CHM  234,Transfer Course,Undergraduate,C,CHEM  2312,Organic Chemistry II,3.0
230,Chattahoochee Valley Cmty Coll,CHM  235,Transfer Course,Undergraduate,C,CHEM  2380,Synthesis Lab I,2.0
231,Chattahoochee Valley Cmty Coll,CIS  146,Transfer Course,Undergraduate,C,ET  DEPT,Approp Dept Must Evaluate,0.0
